"title","rating","summaryText","releaseDate"
"Hera Pheri (2000)","8.2","Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However, things do not go as planned.","31 March 2000 (India)"
"Baaghi 3 (2020)","1.9","A man embarks on a bloody rampage to save his kidnapped brother.","6 March 2020 (USA)"
